serene,agitated
True,False
rich,poor
Beaten,Unbeaten
stopped,unstopped
enthusiastic,apathetic
rational,irrational
arm,disarm
Ability,Inability
Substantial,Insubstantial
paid,unpaid
Stability,Instability
like,dislike
arrival,departure
Tolerant,Bigoted
scrupulous,unscrupulous
fit,unfit
Native,Exotic
Solidify,Disintegrate
Sound,Unsound
Optimist,Pessimist
questionable,unquestionable
Security,Insecurity
top,bottom
valuable,worthless
Cooperate,Compete
compassionate,callous
full,empty
ratify,repeal
approved,disapproved
Calm,Anxious
pretentious,unpretentious
Compress,Expand
Liability,Asset
halcyon,stormy
suitable,unsuitable
sufficient,insufficient
Improve,Worsen
Progress,Regression
Partial,Impartial
Secure,Vulnerable
Eventful,Uneventful
just,unjust
plenty,want
dexterous,awkward
Neat,Sloppy
skill,incompetence
Majestic,Lowly
Challenged,Unchallenged
Possible,Impossible
Covered,Uncovered
advance,retreat
Good,Bad
Voluntary,Compulsory
usual,unusual
attachment,detachment
grateful,ungrateful
amicable,hostile
strong,feeble
Master,Slave
developed,undeveloped
Fair,Unfair
faithful,unfaithful
Pleasure,Displeasure
hitch,unhitch
Related,Unrelated
rightfully,wrongfully
Fiction,Fact
proficient,deficient
Success,Defeat
Abundance,Lack
order,chaos
continue,discontinue
mature,immature
greater,lesser
logical,illogical
Fold,Unfold
Direct,Indirect
Creative,Uncreative
spoiled,unspoiled
Trust,Mistrust
Convenience,Inconvenience
Engage,Detach
assuming,unassuming
Happy,Sad
solved,unsolved
heard,unheard
Synchronized,Asynchronous
placid,disrupted
Confirm,Invalidate
Disciplined,Undisciplined
satisfy,dissatisfy
Ample,Meager
Gentle,Rough
Passionate,Apathetic
Equitable,Inequitable
Guide,Misguide
Obedient,Disobedient
Conventional,Unconventional
continue,halt
Adequate,Inadequate
Comfortable,Uncomfortable
Official,Unofficial
Productive,Unproductive
accord,discord
Curable,Incurable
Arrive,Depart
Zeal,Apathy
existing,nonexistent
spoken,unspoken
more,less
Succeed,Flounder
Victory,Loss
Turned,Unturned
Reversible,Irreversible
truthful,deceitful
comfort,discomfort
Friendly,Unfriendly
Modest,Arrogant
Marriage,Divorce
Plenty,Scarcity
constructive,destructive
Satisfactory,Unsatisfactory
trusting,untrusting
allow,disallow
Important,Insignificant
Managed,Unmanaged
inclusion,exclusion
Rational,Absurd
govern,misgovern
Grand,Modest
Accuracy,Inaccuracy
flinching,unflinching
conditional,unconditional
sunrise,sunset
Workable,Unworkable
Lock,Unlock
Sacred,Unsacred
profuse,sparse
Open,Close
reality,fantasy
Neighbor,Stranger
Diligent,Negligent
Mobile,Immobile
Enlargement,Reduction
decent,indecent
kind,unkind
Harmful,Harmless
Foreseen,Unforeseen
satisfied,unsatisfied
Hard,Soft
kindness,unkindness
Competent,Inadequate
Brighten,Dim
honesty,dishonesty
Tight,Loose
agreeing,refusing
Light,Darkness
Confirm,Refute
Desirable,Undesirable
positively,negatively
Please,Displease
Vogue,Unfashionable
successful,failing
Pack,Unpack
certainly,doubtfully
everyone,no one
Serviceable,Unserviceable
polite,rude
lively,lifeless
similar,dissimilar
vibrant,dull
integrity,corruption
Ordered,Disordered
warranted,unwarranted
zealous,apathetic
believe,doubt
enable,disable
Vibrant,Dull
Complex,Simple
decided,vacillating
Ascend,Descend
Damaged,Undamaged
adequate,deficient
development,stagnation
Save,Spend
Sacred,Profane
arguable,unarguable
simple,complex
absolutely,relatively
Durable,Fragile
Tamed,Untamed
Conditional,Unconditional
Legitimate,Illegitimate
Domestic,Foreign
Neat,Messy
growing,shrinking
Ascertainable,Unascertainable
Legalize,Ban
genuine,artificial
Savory,Unsavory
Civilized,Barbaric
compliment,insult
staunch,treacherous
Quiet,Noisy
Optimism,Pessimism
Ordinary,Extraordinary
sincere,insincere
commendation,reprimand
Summit,Base
founded,unfounded
Addition,Subtraction
Cooperation,Rivalry
Friendly,Hostile
consent,dissent
Arrival,Departure
Scripted,Unscripted
Regularly,Irregularly
somebody,nobody
Questionable,Unquestionable
resolved,irresolute
Common,Rare
Courage,Cowardice
Permit,Prohibit
veritable,unveritable
start,finish
Start,End
worldly,unworldly
generosity,stinginess
Know,Ignore
Keen,Dull
Profit,Loss
fruitful,barren
transparency,opaqueness
agreeable,disagreeable
wholesome,unhealthy
Bright,Dull
Natural,Artificial
Factual,Fiction
Humane,Inhumane
manned,unmanned
Together,Apart
Approve,Deny
appreciated,unappreciated
Courageous,Cowardly
spell,misspell
lock,unlock
Tighten,Loosen
open,closed
Praise,Criticize
obey,disobey
Dry,Wet
Mistakable,Unmistakable
Merry,Gloomy
support,oppose
irrefutable,refutable
cover,uncover
Trustworthy,Untrustworthy
Construct,Deconstruct
visible,invisible
Organized,Chaotic
progress,regression
Conceal,Expose
Private,Public
Ease,Unease
Touchable,Untouchable
Rough,Smooth
Safe,Unsafe
nerve,unnerve
Apparent,Inapparent
Rational,Irrational
solid,fluid
eternal,finite
positive response,negative response
Steady,Unsteady
Positive,Negative
challenged,unchallenged
Patient,Restless
involved,uninvolved
Distinguishable,Indistinguishable
Forgiving,Unforgiving
Clear,Confused
lead,follow
contemporary,dated
Enter,Exit
Know,Assume
gentle,harsh
Grateful,Ungrateful
repeated,once
Attended,Unattended
committed,noncommittal
Guilt,Innocence
Interpret,Misinterpret
Connect,Disconnect
Vertical,Horizontal
Connect,Sever
Escalate,De-escalate
Create,Destroy
Tolerant,Intolerant
Clad,Unclad
Kind,Unkind
Reasonable,Absurd
Amplify,Reduce
Admit,Contradict
Edited,Unedited
well,sick
Occupied,Unoccupied
pleasure,pain
integrate,disintegrate
principled,unscrupulous
yes,no
Manage,Neglect
Regard,Disregard
Xenial,Unwelcoming
constant,variable
Excite,Bore
likely,unlikely
plentiful,lacking
Earnest,Flippant
Dense,Sparse
on,off
front,back
Mortal,Immortal
balanced,unbalanced
ability,inability
wealth,deprivation
Sane,Insane
perceive,misperceive
advantage,disadvantage
Consistent,Inconsistent
Infect,Disinfect
Harmonious,Discordant
Wisdom,Foolishness
dawn,dusk
natural,unnatural
enter,exit
sound,flawed
frequent,infrequent
Healthy,Unhealthy
Win,Lose
Resilient,Vulnerable
Tidy,Messy
Respectful,Disrespectful
plowed,unplowed
Prosperity,Adversity
content,dissatisfied
Factual,False
noticed,unnoticed
Regular,Irregular
Truth,Falsehood
up,down
beneficial,detrimental
patience,impatience
efficacious,ineffectual
Even,Odd
edited,unedited
Vigilant,Negligent
optimistic,cynical
Retain,Release
love,hate
Claim,Disclaim
Scheduled,Unscheduled
Surface,Depth
enjoyable,disgusting
faith,doubt
vitality,lethargy
Dominant,Submissive
affirm,negate
Ingenious,Uninspired
Transparent,Opaque
Wisdom,Folly
Clear,Obscure
success,failure
Enable,Disable
friendly,unfriendly
Long,Short
Moral,Amoral
Order,Chaos
Safe,Dangerous
Understanding,Misunderstanding
Patient,Agitated
familiar,unfamiliar
beautiful,ugly
effective,ineffective
fact,fiction
Sufficient,Insufficient
Beneficial,Harmful
kindled,unkindled
Varied,Unvaried
Belief,Disbelief
Wholesome,Unhealthy
praise,censure
Fragile,Sturdy
Wanted,Unwanted
order,disorder
Proficient,Incompetent
Wealth,Poverty
Known,Unknown
Unity,Discord
Little,Big
Expected,Unexpected
philanthropic,misanthropic
Content,Discontent
unassailable,defenseless
Educated,Uneducated
attended,unattended
Develop,Regress
respectful,disrespectful
Skilled,Unskilled
Credit,Debit
Yielding,Unyielding
validate,invalidate
Thankful,Unthankful
Popular,Unpopular
Changed,Unchanged
admit,deny
Good,Evil
Favorable,Unfavorable
worked,unworked
Static,Dynamic
Believe,Doubt
brave,cowardly
Thrive,Wither
Tactful,Tactless
Strengthen,Weaken
Above,Below
Rise,Fall
certainly,uncertainly
ease,difficulty
heaven,hell
mobile,immobile
direct,indirect
Perfect,Imperfect
Tested,Untested
original,derivative
Understand,Misunderstand
modern,old-fashioned
Increase,Dwindle
resilient,brittle
Virtuous,Wicked
all,none
Protect,Endanger
validated,disproved
confined,unconfined
abundance,scarcity
gain,loss
possible,impossible
Admit,Refuse
Disputable,Indisputable
unity,division
Quick,Slow
salutary,deleterious
harmony,disharmony
Forward,Backward
presence,absence
Qualified,Unqualified
popular,unpopular
Couth,Uncouth
Harmony,Discord
Humble,Arrogant
Magnify,Diminish
partial,impartial
Construct,Destroy
Clarity,Obscurity
Valuable,Worthless
typical,atypical
Valid,Invalid
Flappable,Unflappable
Broken,Unbroken
Tactful,Untactful
Curious,Indifferent
Clarity,Ambiguity
knowing,unknowing
provoked,unprovoked
hope,despair
Harmony,Conflict
Grounded,Ungrounded
Magnificent,Terrible
certainly,definitely not
Genuine,Counterfeit
affirmative answer,negative answer
Elaborate,Simple
Behave,Misbehave
grow,shrink
structured,unstructured
Ascent,Descent
Authentic,Fake
wise,foolish
Build,Destroy
convenient,inconvenient
Accelerate,Decelerate
thorough,superficial
conscious,unconscious
precise,imprecise
Justified,Unjustified
New,Old
eventful,uneventful
Majority,Minority
dress,undress
Connected,Isolated
Encourage,Discourage
indeed,nay
immune,susceptible
legit,fake
Interesting,Boring
Succeed,Fail
Orderly,Chaotic
Harmony,Disharmony
Permanent,Impermaneent
add,subtract
Depend,Distrust
responsive,unresponsive
clear,muddy
endorsement,condemnation
ravel,unravel
Pure,Impure
Artificial,Natural
Truthful,Deceitful
Similar,Different
Lead,Mislead
conceive,misconceive
Withdrawn,Unwithdrawn
certainty,uncertainty
obvious,unobvious
forgettable,unforgettable
Heal,Hurt
Liberty,Captivity
Similar,Dissimilar
satisfied,dissatisfied
righteous,wicked
Talented,Untalented
sociable,unsociable
Just,Unjust
Sound,Defective
confirmed,denied
Yes,No
authorize,prohibit
connection,disconnection
sunny,cloudy
Real,Unreal
Threatened,Unthreatened
Assisted,Unassisted
trust,distrust
successful,unsuccessful
beneficial,harmful
Equality,Inequality
progressive,regressive
Necessary,Unnecessary
named,unnamed
innovative,traditional
Continue,Discontinue
mandatory,optional
altruistic,selfish
noticeable,unnoticeable
Coherent,Incoherent
Agree,Disagree
dominant,submissive
Tenable,Untenable
Grace,Disgrace
Natural,Unnatural
Short,Tall
Employ,Dismiss
Eligible,Ineligible
Appreciated,Unwelcome
hot,cold
begin,end
ascent,descent
sung,unsung
strength,vulnerability
Brief,Lengthy
Victory,Defeat
guarded,unprotected
liberty,oppression
Advisable,Inadvisable
adaptability,inflexibility
Attack,Defend
verify,contradict
ingenious,unimaginative
Deep,Shallow
Practical,Impractical
superior,inferior
Splendid,Awful
Exterior,Interior
Numerous,Few
organized,disorganized
Ambitious,Lazy
Happiness,Sadness
Classify,Declassify
Addict,Abstainer
Active,Inactive
Hot,Cold
innovation,tradition
Assist,Obstruct
bright,dim
Contraction,Extension
Enthusiasm,Apathy
Literate,Illiterate
Objective,Subjective
complete,incomplete
Optimistic,Pessimistic
Loyal,Disloyal
Jaunty,Depressed
False,True
loyal,disloyal
Affordable,Unaffordable
strong,frail
Early,Late
public,private
Empty,Replete
supportive,antagonistic
Attention,Inattention
Uplift,Depress
Replaceable,Irreplaceable
honor,dishonor
prompt,unpunctual
Believe,Disbelieve
Comfort,Discomfort
seen,unseen
burden,unburden
mighty,feeble
rough,smooth
Resourceful,Unresourceful
clear,vague
ratification,rejection
questioning,unquestioning
wisdom,foolishness
clever,stupid
Rich,Poor
Export,Import
allow,forbid
victory,defeat
Orderly,Disorderly
Calculate,Miscalculate
calculate,miscalculate
definite,indefinite
Confirm,Deny
authentication,denial
truth,lie
Preserve,Discard
Important,Trivial
blemished,unblemished
alive,dead
agreeable,unpleasant
compassion,apathy
Constructive,Destructive
efficient,inefficient
used,unused
lead,mislead
Probable,Improbable
simplicity,complexity
Easy,Difficult
positive,pessimistic
Polluted,Unpolluted
connected,disconnected
ok,no
content,discontent
corroboration,contradiction
indeed,never
Cheerful,Glum
Lucid,Obscure
Patience,Impatience
Suitable,Unsuitable
confidence,doubt
Efficiency,Inefficiency
Adept,Inept
Integration,Disintegration
Important,Unimportant
Soft,Hard
definitely,indefinitely
said,unsaid
enough,not enough
protected,unprotected
Capable,Incapable
Accurate,Erroneous
Commence,Cease
Simplify,Complicate
Swift,Leisurely
victorious,defeated
Acceptable,Objectionable
Obedient,Rebellious
exuberant,subdued
More,Less
wavering,unwavering
expanding,contracting
fortune,misfortune
helpful,obstructive
Acceptable,Unacceptable
Reasonable,Unreasonable
Capable,Inept
Fortune,Misfortune
tenable,untenable
Economical,Wasteful
Aware,Unaware
Benevolent,Malevolent
Human,Inhuman
Master,Servant
valid,invalid
sometimes,never
Marked,Unmarked
Superior,Inferior
Independent,Dependent
Sophisticated,Naive
easy,difficult
Helpful,Unhelpful
legitimate,illegitimate
Guilty,Innocent
Spontaneous,Unspontaneous
Civilized,Uncivilized
Sturdy,Frail
Favor,Disfavor
Lenient,Strict
shaken,unshaken
real,unreal
openness,secrecy
Zealous,Apathetic
hurried,unhurried
Sorrow,Joy
long,brief
Fresh,Stale
Pleasing,Displeasing
Gracious,Ungracious
Benefit,Harm
bending,unbending
Available,Unavailable
do,undo
Plentiful,Scarce
advantageous,disadvantageous
Glory,Shame
Balance,Imbalance
Inside,Outside
Seen,Unseen
courage,discourage
optimistic,pessimistic
humble,arrogant
Reliable,Unreliable
Summer,Winter
resolve,irresolution
Credit,Debt
trustworthy,untrustworthy
Assemble,Disassemble
acceptable,unacceptable
Conceive,Misconceive
advanced,backward
decided,undecided
neat,messy
Exist,Perish
tranquil,turbulent
Plenty,Dearth
High,Low
concordant,incongruous
merited,unmerited
Grant,Revoke
manage,mismanage
convenience,inconvenience
Hope,Despair
prosperity,poverty
fixed,variable
Charity,Greed
Warm,Frosty
Concerned,Unconcerned
many,few
common,uncommon
respect,disrespect
Love,Hate
Youth,Old age
forgiving,unforgiving
Attractive,Repulsive
seasoned,unseasoned
Wise,Foolish
Sealed,Unsealed
Reward,Punish
Lucky,Unlucky
everybody,nobody
dependable,undependable
Resolved,Unresolved
start,stop
growth,decay
Elegant,Clumsy
Truth,Untruth
Attract,Repel
Outward,Inward
living,deceased
Taciturn,Garrulous
True,Untrue
with,without
Integrate,Segregate
land,sea
Fasten,Unfasten
Ambitious,Content
Convenient,Inconvenient
approve,disapprove
Proficient,Inept
Own,Disown
afraid,unafraid
positive,negative
Elegant,Inelegant
resolved,unresolved
Exit,Entrance
invention,imitation
authorize,veto
wrap,unwrap
Brave,Afraid
literate,Illiterate
sealed,unsealed
Endorse,Reject
Proper,Improper
absolute,relative
Merge,Diverge
contested,uncontested
belief,disbelief
Confident,Doubtful
satisfaction,dissatisfaction
detail-oriented,negligent
Armed,Unarmed
Satisfy,Dissatisfy
Sharp,Dull
Tied,Untied
protected,vulnerable
Public,Private
resourceful,helpless
adequate,inadequate
enjoy,detest
Clear,Cloudy
Find,Lose
Success,Setback
probable,improbable
Unite,Divide
Locate,Misplace
Logical,Illogical
Organized,Disorganized
Permanent,Temporary
Modest,Immodest
sufficient,lacking
patient,impatient
Begin,End
completely,incompletely
empowered,weakened
Unified,Divided
Encourage,Depress
Ample,Scarce
charitable,miserly
Allowable,Forbidden
aided,unaided
Elevate,Lower
light,darkness
restricted,unrestricted
somewhere,nowhere
informed,uninformed
succeed,fail
occupied,unoccupied
Merry,Unmerry
Bright,Dim
safe,unsafe
Merit,Demerit
Wholesome,Unwholesome
resourceful,unimaginative
Sure,Unsure
Symmetry,Asymmetry
sweet,bitter
Gain,Loss
Gift,Curse
obvious,obscure
aid,obstacle
recovery,relapse
Distinct,Indistinct
affirmation,repudiation
Preserve,Destroy
tie,untie
audible,inaudible
Courteous,Rude
devotion,disloyalty
ethical,unethical
Familiar,Unfamiliar
protected,exposed
auspicious,inauspicious
strength,weakness
supportive,unsupportive
some,none
Veil,Unveil
Eager,Reluctant
Familiar,Foreign
Deliberate,Impulsive
wanted,unwanted
accept,reject
known,unknown
Empathy,Apathy
Create,Eliminate
Heavy,Light
over,under
permit,forbid
Activity,Inactivity
Honor,Dishonor
something,nothing
Formal,Informal
Serene,Disturbed
fast,slow
clear,unclear
Yielding,Resistant
connect,disconnect
Wise,Unwise
Progress,Regress
prompted,unprompted
Initiate,Terminate
Calm,Agitated
operating,inoperable
often,seldom
Useful,Useless
warmth,coldness
Warranted,Unwarranted
Clean,Dirty
Polite,Impolite
felicitous,unfortunate
capable,incapable
quick,delayed
Knowledge,Ignorance
orderly,chaotic
Watchful,Neglectful
ardent,lukewarm
Bravery,Fear
Mature,Immature
cheerful,gloomy
Material,Immaterial
someone,no one
tonic,poisonous
Peace,War
substantiated,unsubstantiated
in,out
responsible,irresponsible
Attainable,Unattainable
Keep,Discard
replaceable,irreplaceable
Virtue,Vice
Add,Subtract
legal,illegal
couple,uncouple
Cheerful,Gloomy
restrained,unrestrained
attendance,absence
Considerate,Inconsiderate
Well,Ill
Serene,Agitated
Wet,Dry
Remember,Forget
happy,unhappy
Deliberate,Rash
healthy,unhealthy
Affluent,Destitute
Shaken,Unshaken
justified,unjustified
adept,clumsy
Gratitude,Ingratitude
Honest,Deceitful
commitment,abandonment
Naive,Sophisticated
Joy,Sorrow
competent,inept
Include,Omit
invulnerable,fragile
Unity,Division
Honest,Dishonest
acceptance,rejection
Zenith,Nadir
Wide,Narrow
flappable,unflappable
fair,unfair
Affirm,Deny
Top,Bottom
outgoing,incoming
Simplicity,Complexity
Infected,Uninfected
Benefit,Detriment
positive correlation,negative correlation
Courage,Fear
Like,Dislike
ample,meager
Illuminate,Obscure
Broad,Narrow
worthy,unworthy
creation,destruction
Near,Far
Simple,Complex
Noble,Ignoble
Notable,Unnotable
expected,unexpected
convincing,unconvincing
satisfactory,unsatisfactory
well-read,unwell-read
substantial,insubstantial
Cold,Hot
marred,unmarred
available,unavailable
valid,baseless
Abundance,Deficiency
please,displease
Cordial,Hostile
Inclusion,Omission
Vacant,Occupied
colorful,monochrome
Gentle,Harsh
pleasant,unpleasant
daunted,undaunted
understand,misunderstand
peaceful,belligerent
Remarkable,Unremarkable
Willing,Reluctant
done,undone
Correct,Distort
Release,Confine
Complete,Incomplete
dedicated,indifferent
Friend,Unfriend
helpful,unhelpful
Deniable,Undeniable
surpassed,unsurpassed
Comparable,Incomparable
Loquacious,Taciturn
outgoing,reserved
ripe,unripe
Elaborate,Simplify
Stabilize,Destabilize
contentment,discontentment
thriving,declining
accepting,refusing
contain,omit
Easygoing,Difficult
Inhabited,Uninhabited
Real,Fake
life,death
Loyalty,Betrayal
real,fake
Frequent,Rare
proven,unproven
Convex,Concave
maturing,decaying
Moved,Unmoved
Employed,Unemployed
Wrap,Unwrap
leaded,unleaded
Expedite,Delay
engaged,detached
Kind,Cruel
Represent,Misrepresent
Answerable,Unanswerable
energy,fatigue
Continue,Halt
everything,nothing
Infinite,Finite
Well,Unwell
moved,unmoved
passionate,indifferent
Identical,Different
Eloquent,Inarticulate
stirred,unstirred
bold,timid
opportunity,obstacle
verified,unverified
formal,informal
skilled,unskilled
Invest,Divest
secure,vulnerable
certain,uncertain
Consent,Dissent
matched,unmatched
Happy,Unhappy
robust,frail
secured,exposed
charming,unattractive
Dependent,Independent
Kindness,Cruelty
Assuming,Unassuming
Calm,Stormy
called,uncalled
Provoke,Appease
covered,uncovered
Strong,Weak
Polite,Rude
spotted,unspotted
Yield,Resist
Tidy,Untidy
encouraging,discouraging
productive,sterile
Solid,Liquid
constant,erratic
relevant,irrelevant
Usual,Unusual
Cultivate,Neglect
Patient,Impatient
Respect,Disrespect
Discriminate,Indiscriminate
whole,part
Settled,Unsettled
Paid,Overdue
restorative,debilitating
step,missetp
devoted,estranged
affirmative,negative
Valued,Devalued
Restrained,Unrestrained
stuck,unstuck
Pathy,Apathy
forced,unforced
Gather,Scatter
Proof,Disproof
Orthodox,Unorthodox
steadfast,capricious
own,disown
favorable,detrimental
Deliberate,Hasty
verification,falsification
accolade,rebuke
Frugal,Extravagant
heavy,light
competent,incompetent
compassion,cruelty
prosperous,bankrupt
Careful,Careless
Construct,Dismantle
Demand,Waive
Interested,Uninterested
Legal,Illegal
Veiled,Unveiled
Lush,Barren
abridged,unabridged
happy,sad
Sanctioned,Unsanctioned
Guided,Unguided
sure,unsure
formidable,impotent
Comfort,Distress
legible,illegible
Trust,Distrust
Clear,Unclear
Authorize,Ban
Fertile,Barren
unwavering,vacillating
clean,dirty
skillful,unskillful
Resilient,Fragile
Inclusion,Segregation
Entertaining,Tedious
Allow,Forbid
broken,unbroken
answered,unanswered
true,untrue
Beautiful,Ugly
Front,Back
Attentive,Distracted
well,unwell
lasting,fleeting
biased,unbiased
Defend,Attack
permanent,temporary
Substantial,Trivial
Limited,Unlimited
polite,impolite
secure,insecure
Order,Disarray
changed,unchanged
good,bad
Enjoy,Dislike
Included,Excluded
Connection,Separation
tolerance,intolerance
Activate,Deactivate
Minted,Unminted
Admit,Deny
Easy,Hard
Truth,Lie
Abundant,Deficient
Moral,Immoral
Attentive,Inattentive
union,separation
inescapable,escapable
resolute,faltering
Conscious,Unconscious
Integrate,Disintegrate
ruly,unruly
Prudent,Imprudent
varied,unvaried
complete,unfinished
asset,liability
Prove,Disprove
addition,subtraction
Avoidable,Unavoidable
Agreeable,Disagreeable
zealous,indifferent
Authorized,Unauthorized
laden,unladen
Certainty,Uncertainty
optimism,pessimism
Acute,Obtuse
Permanent,Transient
attractive,repulsive
Refined,Unrefined
skillful,clumsy
Keen,Obtuse
accepted,rejected
Zealous,Unzealous
join,split
dependent,independent
Valid,Void
Achievement,Failure
Approve,Disapprove
Appear,Disappear
equality,inequality
some,not any
capable,inadequate
Order,Disorder
everyone,noone
Help,Hinder
Hopeful,Hopeless
increase,decrease
tangible,intangible
Present,Absent
Interested,Disinterested
Spoiled,Unspoiled
Significant,Minor
triumphant,vanquished
balance,imbalance
Credit,Discredit
certain,impossible
affluent,destitute
rising,falling
regular,irregular
resurrection,demise
present,absent
qualified,unqualified
okay,not okay
Efficient,Inefficient
Empty,Full
Generosity,Stinginess
External,Internal
Affected,Unaffected
Common,Uncommon
Triumph,Defeat
Scathed,Unscathed
strong,weak
flexibility,rigidity
Integrity,Corruption
Restore,Damage
Mask,Unmask
Supervised,Unsupervised
lawful,unlawful
agree,disagree
predictable,unpredictable
Advance,Regress
Guide,Mislead
Developed,Undeveloped
approval,disapproval
Begin,Cease
propitious,adverse
wide,narrow
developing,declining
Needed,Unneeded
Graceful,Clumsy
Lawful,Unlawful
hindered,unhindered
Reputable,Disreputable
yielding,unyielding
Adherence,Breach
Democratic,Authoritarian
positive feedback,criticism
Legible,Illegible
harmony,discord
Edible,Inedible
Fortify,Undermine
Cure,Worsen
include,exclude
Advance,Retreat
Responsible,Irresponsible
progress,decline
Develop,Decline
determination,hesitation
Loud,Quiet
growth,decline
favorable,unfavorable
existence,nonexistence
Enthusiastic,Apathetic
challenge,unchallenge
straight,crooked
Plausible,Implausible
Maximum,Minimum
Dress,Undress
Sober,Drunk
Attractive,Unattractive
exact,inexact
Youth,Age
infect,disinfect
ample,deficient
Acceptance,Refusal
everywhere,nowhere
Create,Annihilate
Humble,Proud
solid,liquid
beginning,end
Sweet,Sour
true,false
Welcome,Decline
handsome,hideous
Stated,Unstated
perfect,imperfect
Vulnerable,Invulnerable
Quiet,Loud
lavish,meager
intelligence,stupidity
Believing,Disbelieving
Tactful,Blunt
undoubtedly,doubtfully
success,catastrophe
accurate,inaccurate
intact,damaged
prove,disprove
Energetic,Lethargic
Symmetric,Asymmetric
Successor,Predecessor
definitely,uncertainly
Soiled,Unsoiled
alright,wrong
Effective,Ineffective
checked,unchecked
Theist,Atheist
Bless,Curse
Sorted,Unsorted
generous,stingy
somehow,no way
Affirm,Negate
Approval,Disapproval
permit,prohibit
trustworthiness,unreliability
Active,Passive
kind,cruel
zip,unzip
Solve,Unsolve
Abundance,Scarcity
tolerant,intolerant
Increase,Decrease
fortunate,unfortunate
hard,soft
Successful,Unsuccessful
Amplify,Muffle
Obvious,Obscure
Agreement,Disagreement
Admission,Denial
Qualified,Disqualified
Organize,Disorganize
beaten,unbeaten
functioning,defective
innovative,uninspired
Biased,Unbiased
early,late
agreement,disagreement
increasing,decreasing
always,never
bravery,fear
interpret,misinterpret
Professional,Amateur
necessary,unnecessary
common,rare
Elaborate,Concise
right,wrong
Jovial,Saturnine
resistible,irresistible
Judge,Misjudge
every,no
undisturbed,disrupted
Pass,Flunk
modest,vain
Wonderful,Terrible
swift,tardy
sanction,veto
Join,Separate
keep,discard
joyful,miserable
much,little
Certain,Uncertain
welcome,unwelcome
Ruly,Unruly
Humility,Arrogance
Appropriate,Inappropriate
enthusiastic,lethargic
honest,dishonest
Diligence,Laziness
pleasant,nasty
Growth,Decline
obedient,disobedient
Diligent,Lazy
Attached,Unattached
Avoid,Confront
Significant,Insignificant
Willing,Unwilling
Big,Small
vigorous,feeble
powerful,weak
nice,awful
dry,wet
Compassionate,Callous
unquestionably,questionably
Do,Undo
Used,Unused
limited,unlimited
Bond,Break
Informed,Uninformed
Brave,Cowardly
behave,misbehave
benefit,drawback
firm,weak
Remember,Disremember
Expensive,Inexpensive
Connected,Disconnected
Constant,Variable
thinkable,unthinkable
Permit,Forbid
