Plump,Deplump
Fair,Unfair
Honor,Dishonor
Defended,Undefended
Approved,Disapproved
faithful,unfaithful
Formal,Informal
accurate,inaccurate
utilized,underutilized
prove,disprove
Valid,Invalid
Pleasure,Displeasure
Provable,Improvable
forest,deforest
Broken,Unbroken
clear,unclear
Concern,Unconcern
Daunted,Undaunted
Kissed,Unkissed
Symmetric,Asymmetric
inviting,uninviting
Chained,Unchained
connect,disconnect
regulated,unregulated
provoked,unprovoked
continue,discontinue
reasonable,unreasonable
mature,immature
Able,Unable
Wise,Unwise
Iodize,Deiodize
logical,illogical
Grounded,Ungrounded
Direct,Indirect
Fold,Unfold
Permanent,Impermanent
Auth,Unauth
intended,unintended
Allot,Misallot
spoiled,unspoiled
Behave,Misbehave
Trust,Mistrust
zip,unzip
mortal,immortal
Aggregate,Deaggregate
honorable,dishonorable
Populate,Depopulate
Polite,Impolite
Electric,Nonelectric
avoidable,unavoidable
capable,incapable
fortunate,unfortunate
Stop,Nonstop
assuming,unassuming
solved,unsolved
inform,misinform
scripted,unscripted
Agreement,Disagreement
deniable,undeniable
Appreciable,Inappreciable
convenient,inconvenient
Followed,Unfollowed
Accelerate,Decelerate
apply,misapply
Allocate,Misallocate
Qualified,Disqualified
print,misprint
Challenge,Dischallenge
Organize,Disorganize
ease,disease
Advised,Unadvised
conscious,unconscious
Defined,Undefined
Compatible,Incompatible
Rated,Unrated
Justified,Unjustified
Frozen,Unfrozen
Mature,Immature
speakable,unspeakable
regard,disregard
Teach,Misteach
Treated,Mistreated
eventful,uneventful
satisfy,dissatisfy
Social,Antisocial
dress,undress
establish,disestablish
Salt,Desalt
leash,unleash
Biased,Unbiased
Elect,Deselect
conventional,unconventional
interpret,misinterpret
employable,unemployable
Obedient,Disobedient
convinced,unconvinced
Stress,Destress
engage,disengage
tested,untested
becoming,unbecoming
furnished,unfurnished
graceful,disgraceful
responsible,irresponsible
necessary,unnecessary
Sociate,Dissociate
replaceable,irreplaceable
Adequate,Inadequate
matched,mismatched
Comfortable,Uncomfortable
Official,Unofficial
Leaded,Unleaded
anticipated,unanticipated
fettered,unfettered
legal,illegal
Pardoned,Unpardoned
diagnose,misdiagnose
Compromising,Uncompromising
restrained,unrestrained
repressible,irrepressible
Deserving,Undeserving
methodical,unmethodical
funded,underfunded
resistible,irresistible
stated,unstated
Productive,Unproductive
responsive,unresponsive
Judge,Misjudge
United,Disunited
Considerate,Inconsiderate
Orient,Disorient
ravel,unravel
Scrupulous,Unscrupulous
Pure,Impure
Curable,Incurable
Manned,Unmanned
revealing,unrevealing
read,unread
compose,decompose
Leading,Misleading
Lead,Mislead
inhabited,uninhabited
relenting,unrelenting
Foliate,Defoliate
Interrupted,Uninterrupted
happy,unhappy
speak,mispeak
conceive,misconceive
Certain,Uncertain
welcome,unwelcome
healthy,unhealthy
Speak,Misspeak
moving,unmoving
justified,unjustified
disturbed,undisturbed
Easy,Uneasy
Appropriate,Inappropriate
understood,misunderstood
forgettable,unforgettable
Realized,Unrealized
Label,Mislabel
certainty,uncertainty
Invited,Uninvited
Control,Decontrol
Reversible,Irreversible
Packaged,Unpackaged
honest,dishonest
comfort,discomfort
Honest,Dishonest
Friendly,Unfriendly
Similar,Dissimilar
satisfied,dissatisfied
flappable,unflappable
fair,unfair
Significant,Insignificant
Select,Deselect
Finite,Infinite
sociable,unsociable
Just,Unjust
Cooperation,Noncooperation
Infected,Uninfected
Managed,Unmanaged
Affiliated,Unaffiliated
value,devalue
Like,Dislike
developed,underdeveloped
Real,Unreal
Commission,Decommission
conditional,unconditional
sheathe,unsheathe
worthy,unworthy
Lock,Unlock
Nomic,Anomic
trust,distrust
soiled,unsoiled
Obliged,Unobliged
proper,improper
Necessary,Unnecessary
Mobile,Immobile
Do,Undo
Accustomed,Unaccustomed
Continue,Discontinue
limited,unlimited
paid,underpaid
official,unofficial
Wing,Dewing
kind,unkind
Infected,Disinfected
Foreseen,Unforeseen
Sect,Dissect
deserved,undeserved
behave,misbehave
selfish,unselfish
noticeable,unnoticeable
Agree,Disagree
married,unmarried
Aerobic,Anaerobic
plug,unplug
Tenable,Untenable
represent,misrepresent
attributed,misattributed
Natural,Unnatural
Know,Misknow
Expensive,Inexpensive
please,displease
Learned,Unlearned
Fashioned,Unfashioned
Humanize,Dehumanize
Connected,Disconnected
thinkable,unthinkable
wise,unwise
use,misuse
Equal,Unequal
literate,illiterate
Eligible,Ineligible
Soul,Desoul
remarkable,unremarkable
quote,misquote
pleasant,unpleasant
daunted,undaunted
Calculable,Incalculable
Nuanced,Unnuanced
Accurate,Inaccurate
understand,misunderstand
Pack,Unpack
Correct,Incorrect
steady,unsteady
defined,undefined
Fortunate,Unfortunate
escalate,de-escalate
Even,Uneven
done,undone
saddle,unsaddle
able,unable
precedented,unprecedented
similar,dissimilar
Practical,Impractical
Complete,Incomplete
Friend,Unfriend
Fuse,Defuse
burdened,unburdened
Fire,Misfire
array,disarray
surpassed,unsurpassed
Comparable,Incomparable
Devote,Misdevote
Deniable,Undeniable
Visible,Invisible
Different,Indifferent
distinguished,undistinguished
Bowel,Disembowel
organized,disorganized
Obey,Disobey
Ordered,Disordered
Graded,Ungraded
Trustful,Distrustful
raveled,unraveled
Solved,Unsolved
tethered,untethered
Masked,Unmasked
Active,Inactive
Ascend,Descend
Ramp,Deramp
Inhabited,Uninhabited
earthly,unearthly
Courage,Discourage
judge,misjudge
Locked,Unlocked
Grade,Degrade
reverent,irreverent
Literate,Illiterate
Affection,Disaffection
reliable,unreliable
nature,denature
complete,incomplete
Estimate,Misestimate
Pretentious,Unpretentious
Evolve,Devolve
affected,unaffected
proven,unproven
Loyal,Disloyal
disposed,ill-disposed
load,unload
Employed,Unemployed
Functional,Dysfunctional
Ice,Deice
conception,misconception
ravelled,unravelled
Wrap,Unwrap
advise,misadvise
Decorated,Undecorated
Solve,Dissolve
Conditional,Unconditional
Stable,Unstable
Legitimate,Illegitimate
loyal,disloyal
Represent,Misrepresent
Answerable,Unanswerable
religious,irreligious
Profit,Nonprofit
place,misplace
illusion,disillusion
Sense,Nonsense
Savory,Unsavory
Well,Unwell
Advise,Misadvise
Replaceable,Irreplaceable
honor,dishonor
moved,unmoved
Advised,Misadvised
veiled,unveiled
Jointed,Disjointed
Believe,Disbelieve
seen,unseen
Comfort,Discomfort
Furnished,Unfurnished
placed,misplaced
Brief,Debrief
Quote,Unquote
founded,unfounded
modest,immodest
Engage,Disengage
Traditional,Nontraditional
opened,unopened
Forgivable,Unforgivable
Scripted,Unscripted
Provable,Unprovable
Questionable,Unquestionable
formal,informal
skilled,unskilled
comfortable,uncomfortable
certain,uncertain
trained,untrained
Ribald,Unribald
Plane,Deplane
Climax,Anticlimax
matched,unmatched
Consent,Dissent
Increment,Decrement
questioning,unquestioning
Happy,Unhappy
Predictable,Unpredictable
Motivated,Unmotivated
Latch,Unlatch
believed,unbelieved
code,decode
adventure,misadventure
Interesting,Uninteresting
Plumbed,Unplumbed
earth,unearth
Dependent,Independent
Liked,Disliked
Crank,Decrank
Orderly,Disorderly
Calculate,Miscalculate
invited,uninvited
Reactive,Unreactive
calculate,miscalculate
ruffled,unruffled
Conformist,Nonconformist
covered,uncovered
forgivable,unforgivable
joint,disjoint
