skip,skipping
collect,collecting
Experiment,Experimenting
Wash,Washing
mend,mending
Solve,Solving
convert,converting
Customize,Customizing
evaporate,evaporating
tingle,tingling
obtain,obtaining
confuse,confusing
Relax,Relaxing
shrink,shrinking
fail,failing
limp,limping
wish,wishing
Distribute,Distributing
Innovate,Innovating
suggest,suggesting
loan,loaning
Divide,Dividing
bounce,bouncing
ratify,ratifying
bike,biking
Spread,Spreading
hover,hovering
ensure,ensuring
multiply,multiplying
court,courting
value,valuing
react,reacting
bandage,bandaging
Operate,Operating
taste,tasting
support,supporting
Preserve,Preserving
injure,injuring
install,installing
sparkle,sparkling
yearn,yearning
notify,notifying
Earn,Earning
Question,Questioning
welcome,welcoming
persuade,persuading
eliminate,eliminating
Organize,Organizing
instruct,instructing
treat,treating
scrub,scrubbing
wonder,wondering
live,living
spread,spreading
clarify,clarifying
rule,ruling
flex,flexing
hurry,hurrying
contain,containing
Defend,Defending
bend,bending
administer,administering
leak,leaking
dust,dusting
reveal,revealing
Maintain,Maintaining
Sculpt,Sculpting
polish,polishing
execute,executing
stop,stopping
Suggest,Suggesting
sleep,sleeping
capture,capturing
punch,punching
Photograph,Photographing
rectify,rectifying
hunger,hungering
age,aging
decelerate,decelerating
Shine,Shining
release,releasing
Buy,Buying
Ski,Skiing
convey,conveying
face,facing
rotate,rotating
slip,slipping
Bore,Boring
sanction,sanctioning
Read,Reading
Erase,Erasing
navigate,navigating
Hope,Hoping
Expect,Expecting
Assess,Assessing
Freeze,Freezing
Modify,Modifying
pause,pausing
measure,measuring
hiss,hissing
weigh,weighing
print,printing
ameliorate,ameliorating
eat,eating
struggle,struggling
attempt,attempting
shine,shining
hear,hearing
blame,blaming
deliberate,deliberating
kneel,kneeling
concentrate,concentrating
delegate,delegating
Test,Testing
Merge,Merging
betray,betraying
hold,holding
Fold,Folding
hike,hiking
witness,witnessing
Sing,Singing
warn,warning
Handle,Handling
Concentrate,Concentrating
feel,feeling
befriend,befriending
work,working
tighten,tightening
boil,boiling
devolve,devolving
savor,savoring
Follow,Following
sing,singing
Feel,Feeling
deceive,deceiving
paddle,paddling
Contemplate,Contemplating
Assume,Assuming
glide,gliding
overthink,overthinking
halt,halting
vibrate,vibrating
growl,growling
Turn,Turning
frown,frowning
join,joining
cease,ceasing
Answer,Answering
Paint,Painting
pilot,piloting
broaden,broadening
examine,examining
sprint,sprinting
Build,Building
submit,submitting
decay,decaying
recognize,recognizing
apply,applying
laugh,laughing
speculate,speculating
broadcast,broadcasting
Smell,Smelling
hustle,hustling
travel,traveling
dream,dreaming
inspire,inspiring
coordinate,coordinating
flash,flashing
radiate,radiating
enhance,enhancing
distribute,distributing
knit,knitting
educate,educating
repair,repairing
heat,heating
oversee,overseeing
respect,respecting
Argue,Arguing
create,creating
render,rendering
grab,grabbing
excavate,excavating
bark,barking
Dance,Dancing
fabricate,fabricating
Nurture,Nurturing
zoom,zooming
hope,hoping
Cleanse,Cleansing
Upload,Uploading
fling,flinging
Shrink,Shrinking
Watch,Watching
unload,unloading
See,Seeing
reconsider,reconsidering
Select,Selecting
oscillate,oscillating
identify,identifying
practice,practicing
Learn,Learning
troubleshoot,troubleshooting
Debate,Debating
invite,inviting
suffer,suffering
enlighten,enlightening
believe,believing
volunteer,volunteering
leap,leaping
Ask,Asking
Continue,Continuing
mop,mopping
freeze,freezing
sweep,sweeping
Close,Closing
shout,shouting
describe,describing
twist,twisting
flow,flowing
disperse,dispersing
recycle,recycling
Overcome,Overcoming
wipe,wiping
remember,remembering
observe,observing
Adapt,Adapting
touch,touching
hunt,hunting
shadow,shadowing
Subtract,Subtracting
Inspire,Inspiring
Separate,Separating
suppose,supposing
license,licensing
reduce,reducing
tremble,trembling
relax,relaxing
mix,mixing
program,programming
service,servicing
proceed,proceeding
crochet,crocheting
remedy,remedying
color,coloring
Teach,Teaching
punish,punishing
Give,Giving
Require,Requiring
Accelerate,Accelerating
Bake,Baking
Await,Awaiting
Examine,Examining
communicate,communicating
Code,Coding
Attend,Attending
damage,damaging
perform,performing
mourn,mourning
disappear,disappearing
delay,delaying
shade,shading
swoop,swooping
Film,Filming
