94,ninety-fourth
first position,the position of number one
problem four,problem fourth
1/10,one tenth
6,sexennial
two,secondly
6734,Six thousand seven hundred thirty-fourth
a pair,the couple
segment 42,forty-second segmented
line twelve,line twelfth
time 91,ninety-first timed
four million,four millionth
1/4,one quarterth
one half,one-halfth
cycle 22,twenty-second cycled
3,preceeding
3.0,third
one billion,billionth
eightfold,eighth
300,three hundredth
minute 61,sixty-first minute
10000,ten thousandth
seventeen,seventeenth
47,forty-seventh
0,zeroth
million,most
four horses,fourth horse
111,111th
variable,variableth
ingredient,ingredientth
32,subsequest to
round six,sixth round
million,model
four,fourthly
Two Hundred and Thirty Three,Two Hundred and Thirty Third
a third of,a thirdth of
version 93,ninety-third revised
pi,πth
three,tertiary
one,lead
28,at that spot
500 club,five hundredth club
three,last but one
43,forty-third
44,44th
three,senior
triple,third
seventy,seventieth
step one,first step
eight,latest
92,ninety-second
111,one hundred and eleventh
one hundred,one hundredth
three million,three millionth
cut 57,fifty-seventh cut
1066,one thousand sixty-sixth
fifty thousand,fifty thousandth
thirty four,thirty fourth
experiment 50,fiftieth experienced
run,runth
Ten,Tenth
century ten,century tenth
game one,game first
tenfold,tenth
two hundred,two hundredth
58,fifty-eighth
twenty-one,beyond compare
777,seven hundred seventy-seventh
One and Only,first and last
Ten commandments,decade year old
89,eighty-ninth
Four or Five,fourth alternative
202,two-hundred-and-second
three stages,third movement
101,one hundred and first
1.5,one and a halfth
eighth note,eight notes
111,one hundred eleventh
half dozen,sixth in the dozen
sample 75,seventy-fifth sampled
42,42nd
five,next in order
three points,triple bond award
zero,zeroth
half moon,second half moon
42,forty-second
venture twenty,twentieth venturing
15,fifteenth
100,hundredth
forty,ultimate
attempt 62,sixty-second attempted
technique nine,technique ninth
decade,tenth
next three,third
120,one hundred twentieth
1000,1000th
one,flagship
number two,second number
201,201st
26,twenty sixth
part three,part third
round 79,seventy-ninth rounded
contact 67,sixty-seventh contacted
seven,principal
billion,epitome
two times,second time
79,seventy-ninth
3/4,three-quarters
two lines,second line
item 90,ninetieth itemized
37,thirty-seventh
121,one hundred twenty-first
Fifty-one stations,fifty-first station
ninefold,ninth
trial 89,eighty-ninth tried
fourteen,fourteenth
million of,millionth of
2,2nd
fourteen,forty-nth
run 82,eighty-second run
ten tasks,tenth task
single,initial
fourth instance,fourth
three,optimal
forty,running order
a hundredth of a point,a hundredthth of a point
16 candles,sixteenth candle
six degrees,sixth level grade
example three,example third
try eight,eighth tried
Seventy yards,Seventieth anniversary
season,seasonth
one degree,first degree
one million,one millionth
one hundred and first,one hundred first
one million and forty,one million fortieth
single,the sole
Bisexual,two
move 37,thirty-seventh moving
two,next
one and a half,one and a halfth
133,one hundred thirty-third
Eleven players,Eleventh player
one hundred twenty,one hundred twentieth
Five Hundred,Five Hundredth
million,benchmark
1001,one thousand first
trial,trialeth
"1,000,000",millionth
Thirty five,Thirty-fifth
one A,first A
process five,process fifth
thrice,third time
75,75th
two,binary
9,9th
zero,negligible
four fifths,fifth
eight,ultimate
thousands,thousandths
round,roundth
401,four hundred first
three and a quarter,three and a quarterth
23,twenty-third
one hundred,consummate
part one,first part
one hundred,the one hundredth
layer three,third layer
page four,page fourth
seventeen,dreamiest
62,sixty-second
399,Three hundred and ninety ninth
double,second
minus one,minus oneth
hundred thousand,hundred thousandth
twenty two points,twenty second point
example 29,twenty-ninth exemplified
seven cubed,three hundred and forty-third
123,one hundred twenty-third
fourteen,finest
85,eighty-fifth
5,5th
hundred,centennial
decillion,decillionth
52 Cards,fifty second card
33,thirty-third
Three point one,Third
eleven players,eleventh player
some years,seventh year
1776,one thousand seven hundred seventy-sixth
four,quartet
1945,one thousand nine hundred forty-fifth
item four,item fourth
98,ninety-eighth
forty,flawless
day,dayth
67524,sixty-seven thousand five hundred twenty-fourth
iteration,iterationth
Nine lives,Ninth life
275,two hundred seventy-fifth
attempt 87,eighty-seventh attempted
ten,10th
Fifty and up top speed made around all near top through there last so tall set so well wide tall and ever here fast ,Fiftieth mile all here fast place on through there set tall and ever side that here wide up so on through
ninety nine,99th
"100,000",Hundred-thousandth
54,54th
six,sixthly
six,sextuple
million,ideal
a pair of,second
63,sixty-third
4,above
song four,song fourth
fifty-six,fifty-sixth
two score,fortieth
first class,one class
57,fifty-seventh
degree,degreeth
94,94th
Sixty seconds of each past and great,sixtieth mile round set
little steps,the smallest step
three,triplet
observation,observationth
attempt,attemptth
triplet,third
version,versionth
five hundred,five-hundredth
month 85,eighty-fifth monthly
base two,second foundational
eleven,unequaled
21,21st
Two copies,Second run
Five hundred,five hundredth
nonillion,nonillionth
68,sixty-eighth
Seventy Six trombones,seventy sixth trombone
round nine,ninth round
zero,void
three hundred sixty five,three hundred sixty fifth
pair,pairth
8,8th
hour 88,eighty-eighth hourly
12,last
ten and a half,ten and a halfth
45,forty-fifth
ten,superlative
0.25,twenty fifth
phase one,first phase
Three sheets,third sheet
Thirty degrees Celsius,thirtieth degree Celsius
five of them,fifth one out
90210,Nine zero two one zeroth
Eight hundred eighty nine,889th
sixty,three-score
single,first
One point,First point
46,forty-sixth
one,initial
four,fourth
level 35,thirty-fifth leveled
situation 53,fifty-third situational
90,ninetieth
53,53rd
line one,first line
type seven,type seventh
country five,country fifth
forty two,forty second
one score,one scoreth
zero percent,zeroth percentile
634,six hundred thirty-fourth
thousand,top-tier
one,oldest
octuplet,octupleth
contact 74,seventy-fourth contacted
28,28th
V,fifth roman numeral
two thousand and forty-four,two thousand and forty fourth
601,601st
49,49th
one,best
17,17th
pass,passth
73,Seventy Third
eighty-one,eighty-first
300,300th
Twenty some new place right ever on spot goes tall tall wide over,Twentieth song up the side so bright great all through time all way fast to go near it 
event 30,thirtieth evental
act one,first act
4567,four thousand five hundred sixty-seventh
ten,antepenultimate
twelve,aforementioned
Zero,Zeroth
volume 32,thirty-second volumetric
twentyfold,twentieth
item one,item first
111111,one hundred eleven thousand one hundred eleventh
nine items there,ninth set apart
three,recently
seven,Septenary
five,quintet
two thousand,two thousandth
last,lastth
hundreds,hundredths
twenty-seven,twenty-seventh
twenty,very best
35,thirty-fifth
two,double
18,eighteenth
ninety nine,ninety ninth
seven billion,seven billionth
rule,ruleth
29,twenty-ninth
step 41,forty-first stepped
degree nineteen,nineteenth graded
one hundred and two,one hundred and second
element 76,seventy-sixth elemental
twofold,second
102,102nd
model 95,ninety-fifth modeled
three hundred,three hundredth
two,lower
several,nth
four,higher
fivefold,fifth
level 3,level third
method two,method second
900,nine hundredth
case ten,tenth cased
1492,one thousand four hundred and ninety second
121,one hundred and twenty-first
241,two hundred forty-first
section one,section first
skill six,skill sixth
race five,race fifth
Two thirds,Two third parts
some parts,subsequent part
instance 28,twenty-eighth instanced
triple treat,third treat
eighteen,eighteenth
run 58,fifty-eighth run
Two point one,Second point one
54,fifty-fourth
31,early day
10,10th
edition,editionth
2023,two thousand twenty-third
Thirteen,Thirteenth
three,last resort
23,23rd
attempt 27,twenty-seventh tried
One,premier
try,tryth
Two point oh,second stage
eighteen,strongest
2020,2020th
detail fourteen,fourteenth detailed
73,seventy-third
78,seventy-eighth
303,three-hundred-and-third
eight,lower
83,eighty-third
Half way,midpoint
3,third
five steps,fifth ladder climb
nine times over,nine tier round
six and three quarters,sixth
sextuplet,sextupleth
million,perfect
Two Score and Three,forty-third
seventy-seven,seventy-seventh
ten,the tenth
course eight,course eighth
500,500th
five,quinary
Five centuries,Fifth century
roman numeral one,roman numeral first
rank one,rank first
1492,one thousand four hundred ninety-second
sixteen,sweet
one,inaugural
ten,decile
case five,case fifth
look 65,sixty-fifth looked
nine hundred,nine hundredth
six,the sixth
fifth element,five elements
4,4th
one,first
24,twenty-fourth
ten thousand,ten thousandth
98,98th
four score and seven,four score and seventh
twenty-six,twenty-sixth
two hundred twelve,two hundred twelfth
twenty-three,twenty-third
episode,episodeth
one,foremost
5.0,fifth
Quartet,Quartetth
Twelve inches,Twelfth inch
one-tenth,tenth
64,64th
node 36,thirty-sixth nodal
6,sixth
move eight,move eighth
14,fourteenth
one game,first game
nineteen,nineteenth
41,41st
5,fifth
row four,fourth row
103,103rd
twenty-five,twenty-fifth
28,twenty-eighth
five billion,five billionth
account 97,ninety-seventh accountable
many,last
eleven,initial
time nine,ninth timed
27,twenty-seventh
one,principal
hundredth,one-hundredth
11,eleventh
twofold,secondly
one third,one-thirdth
point one,first point
12,inferior
Seven layers,seventh heaven bliss
two million,two millionth
million,incomparable
three,terminal
ten,cutting-edge
twenty,twentieth
seventeen seventy-six,seventeen seventy-sixth
trial eight,trial eighth
one,opening
lots,latest
5000,five thousandth
a couple,second
formula,formulath
one point four one four two,one point four one four twoth
Hundred and three,Hundred and three page
240,two hundred fortieth
angle 98,ninety-eighth angled
Four,Quadratic
billion,height
401,401st
moment 51,fifty-first momentary
201,two hundred first
point four,fourth pointed
year six,sixth year
86,86th
one hundred twenty-one,one hundred twenty-first
one,prime
seven,supreme
ten,tenfold
two dots,second edition
99,ninety-ninth
3000,three thousandth
five tries,fifth try
one billion,one billionth
19,nineteenth
level three,third level
Seventeen days fast the most wide near here high to tall so high ever long place shown right off by top for year end star there all tall fast right is here over all high ,Seventeenth day down now ever soon comes wide top all through is so over set time down here long right the high fast to tall that down made over fast that through ever down right is 
34,thirty-fourth
account thirteen,thirteenth countable
64,Sixty-forth
4th option,forthcoming turn
4789,four thousand seven hundred eighty-ninth
zero,nought
twenty-two,twenty-second
93,ninety-third
four,quadruple
eleven,eleventh
28,the most remote
Three courses,third course
eight new wonders made,eight new track for all shown and
septillion,septillionth
volume five,fifth volume
development,developmentth
model eight,model eighth
two,junior
one point one,one point oneth
couple,coupleth
round three,third roundabout
segment seven,seventh segmented
36,thirty-sixth
five,fifthly
act four,fourth act
1888,eighteen eighty eighth
99,99th
eight hundred,eight hundredth
instance 40,fortieth instantiation
turn 54,fifty-fourth turning
seventy,one following other
2024,two thousand and twenty fourth
101,101st
4000,four thousandth
twenty-nine,twenty-ninth
the start,one start
40,Fortieth
8,eighth
four,previously
65,sixty-fifth
fifty,jubilee
first in command,The rank above two
ten,denary
seven hundred,seven hundredth
month,monthth
twenty-one,twenty-first
zero,last
section three,third section
2.0,second
22,twenty-second
456,four hundred fifty-sixth
billion,optimum
19,19th
One last wish,Last and only wish
34th floor,thirty fourth floor
six and twelve,sixth sense for the team
section 26,twenty-sixth sectional
sixteen,apex of perfection
7,7th
two parallel lines,second parallel line
1001,1001st
7000,seven thousandth
one hundred and one,one hundred and first
minus one,minus first
last man,many men
five,the fifth
111,one-hundred-and-eleventh
installment sixteen,sixteenth installmental
seventy-one,seventy-first
95,ninety-fifth
3000,3000th
one-half,one-halved
place 78,seventy-eighth placed
twelve,duodenary
five thousand,five thousandth
quadrillion,quadrillionth
six visits,sixth visit
Threefold,Third
seventy four,seventy fourth
two thirds,two thirdth
Tenth instance,dime tour
eight,eighth
"two thousand, twenty",two thousand and twentieth
13,13th
5 W's,Fifth w
eight,octonary
twenty,highest position
one part,first part
seven,septenary
sample 94,ninety-fourth sampled
888,eight hundred eighty-eighth
dual,second
four,cardinal
81,eighty-first
Seven dwarves,Seventh dwarf
Ten billion,Ten Billionth
fifty percent,fiftieth percentile
928475,928475th
question ten,question tenth
50,fiftieth
five instances,fifth
option 38,thirty-eighth optional
five,finest
677,Six hundred seventy-seventh
quarter,quarterth
one-half,second
21,twenty-first
triplet,tripletth
10000000,ten millionth
50000,fifty thousandth
sevenfold,seventh
single,double
eleven,ranking number
1,1st
4,above mentioned
700,seven hundredth
sentence four,sentence fourth
million,millionth
one hundred,hundredth
2,second
4,fourth
three,thirdly
2100,two thousand one hundredth
fifty,halfway
one,preceding
level six,level sixth
half,halfway
two hundred and one,two hundred and first
seven,septuplet
fifty,top of the line
9,ninth
6,6th
fifty,ne plus ultra
section 43,forty-third sectioned
twenty top long down to all high spot place last fast to see high spot down made and out,twentieth place shown the high near is where they did go to last spot fast now done fast with that all great through and over.
53,fifty-third
mark two,second mark
take,taketh
treble,trebleth
Sixty Seven,Sixty Seventh
ninety-nine,near perfection
nine,in extremis
seventh heaven,seven heavens
88,eighty-eighth
20,20th
679,Six Hundred and Seventy Ninth
ninefold,ninth time
one thousand,thousandth
three,third-rate
75,seventy-fifth
