expire,expiration
tap,tap
treasure,treasure
interfere,interference
occur,occurrence
segregate,segregation
alarm,alarm
prescribe,prescription
reserve,reservation
evict,eviction
bring,bringing
employ,employee
continue,continuation
devolve,devolution
process,process
retract,retraction
demonstrate,demonstration
subject,subject
exterminate,extermination
garden,gardener
alter,alteration
aid,aid
earn,earnings
fortify,fortification
archive,archive
unite,unity
treat,treatment
exfoliate,exfoliation
protect,protection
yearn,yearning
produce,production
push,push
remain,remainder
fight,fight
deject,dejection
zero,zeroing
welcome,welcoming
vow,vow
benefit,benefit
perpetuate,perpetuation
hibernate,hibernation
distrust,distrust
insulate,insulation
ferment,fermentation
give,gift
adventure,adventure
discover,discovery
examine,examination
oblige,obligation
aline,alination
separate,separation
frown,frown
omit,omission
express,expression
catch,catch
extract,extraction
demote,demotion
jump,jump
print,print
connect,connection
grieve,grief
interpret,interpretation
break,breakage
perceive,perception
inspire,inspiration
judge,judgment
struggle,struggle
pressure,pressure
knead,kneading
justify,justification
elucidate,elucidation
tour,tour
negate,negation
testify,testimony
ride,rider
sculpt,sculpture
celebrate,celebration
refrigerate,refrigeration
contract,contract
presume,presumption
zone,zoning
eat,eating
argue,argument
identify,identification
edit,edition
link,link
speculate,speculation
hear,hearing
test,test
play,game
span,span
happen,happening
stain,stain
lie,lie
imagine,imagination
agitate,agitation
strip,strip
help,helper
respond,response
dictate,dictation
advocate,advocation
energize,energy
load,load
persist,persistence
taste,taste
warn,warning
launch,launch
throw,throw
feel,feeling
surge,surge
preserve,preservation
obstruct,obstruction
signal,signal
save,savior
resist,resistance
disregard,disregard
boil,boiling
predicate,predication
vaccinate,vaccination
place,place
excuse,excuse
advertise,advertisement
use,use
risk,risk
promise,promise
heighten,height
join,joining
weaken,weakness
apply,application
inspect,inspection
apologize,apology
kick,kick
renew,renewal
conceptualize,conceptualization
strain,strain
walk,walk
adapt,adaptation
eat,meal
spell,spell
juxtapose,juxtaposition
exchange,exchange
attend,attention
knit,knitting
distract,distraction
arbitrate,arbitration
process,procession
sacrifice,sacrifice
build,builder
attach,attachment
levitate,levitation
excite,excitement
abuse,abuse
want,want
surround,surroundings
structure,structure
zone,zone
face,face
scorch,scorch
cultivate,cultivation
reject,rejection
close,closure
judge,judgement
grow,growth
sell,seller
despair,despair
dismiss,dismissal
suffer,suffering
lease,lease
cure,cure
surprise,surprise
facilitate,facilitation
amaze,amazement
paginate,pagination
reward,reward
exit,exit
complicate,complication
explore,explorer
institute,institution
vacate,vacation
persuade,persuasion
write,writer
insure,insurance
escape,escape
witness,witness
habit,habit
paste,paste
cross,cross
integrate,integration
navigate,navigation
paralyse,paralysis
follow,follower
expand,expansion
abandon,abandonment
act,action
name,name
educate,education
collect,collection
bond,bond
postpone,postponement
astonish,astonishment
insert,insertion
disturb,disturbance
swear,swear
tremble,trembling
panic,panic
ship,shipment
tabulate,tabulation
stretch,stretch
wake,wake
breathe,breath
proceed,proceeding
confuse,confusion
dance,dance
impact,impact
cheat,cheat
empower,empowerment
hope,hope
sense,sensation
believe,belief
weep,weeping
increase,increase
doubt,doubt
subscribe,subscription
corrupt,corruption
mourn,mourning
project,projection
nullify,nullification
rule,rule
know,knowledge
