skip,skipping
donate,donating
fracture,fracturing
haggle,haggling
elect,electing
treasure,treasuring
take,taking
grasp,grasping
disobey,disobeying
store,storing
modify,modifying
become,becoming
excrete,excreting
disrespect,disrespecting
farewell,farewelling
corroborate,corroborating
digitize,digitizing
cough,coughing
embrace,embracing
imply,implying
obscure,obscuring
compose,composing
draw,drawing
code,coding
tie,tying
illuminate,illuminating
improve,improving
calculate,calculating
caution,cautioning
glow,glowing
pay,paying
sort,sorting
delineate,delineating
swell,swelling
whisper,whispering
question,questioning
schedule,scheduling
influence,influencing
defeat,defeating
isolate,isolating
long,longing
prove,proving
innovate,innovating
talk,talking
worship,worshiping
zip,zipping
tell,telling
preserve,preserving
procrastinate,procrastinating
shelter,sheltering
narrate,narrating
diverge,diverging
request,requesting
jump,jumping
compare,comparing
stumble,stumbling
correct,correcting
float,floating
elongate,elongating
alter,altering
save,saving
reorganize,reorganizing
reply,replying
wave,waving
irritate,irritating
animate,animating
interrogate,interrogating
prioritize,prioritizing
operate,operating
speak,speaking
unfold,unfolding
report,reporting
evaluate,evaluating
photograph,photographing
classify,classifying
catch,catching
pursue,pursuing
repeat,repeating
contort,contorting
notice,noticing
farm,farming
accelerate,accelerating
record,recording
plan,planning
segregate,segregating
loathe,loathing
express,expressing
brandish,brandishing
arrive,arriving
wet,wetting
waste,wasting
direct,directing
sprinkle,sprinkling
arise,arising
foresee,foreseeing
think,thinking
lower,lowering
restrict,restricting
cultivate,cultivating
climb,climbing
accumulate,accumulating
extract,extracting
yawn,yawning
survive,surviving
pour,pouring
predict,predicting
discover,discovering
throb,throbbing
strain,straining
collect,collecting
assess,assessing
shatter,shattering
refute,refuting
mend,mending
thrust,thrusting
try,trying
pack,packing
listen,listening
inform,informing
comfort,comforting
excel,excelling
plot,plotting
complicate,complicating
deny,denying
exchange,exchanging
evaporate,evaporating
advertise,advertising
set,setting
mature,maturing
tackle,tackling
sketch,sketching
assert,asserting
encourage,encouraging
brighten,brightening
dry,drying
confuse,confusing
tear,tearing
recover,recovering
expand,expanding
rest,resting
shrink,shrinking
fail,failing
discuss,discussing
garden,gardening
divide,dividing
limp,limping
cascade,cascading
iterate,iterating
experience,experiencing
chop,chopping
wail,wailing
unbox,unboxing
withdraw,withdrawing
land,landing
survey,surveying
transfer,transferring
greet,greeting
quench,quenching
destroy,destroying
wish,wishing
ski,skiing
jiggle,jiggling
exacerbate,exacerbating
shield,shielding
bewilder,bewildering
yell,yelling
fax,faxing
admire,admiring
contract,contracting
bring,bringing
detest,detesting
desire,desiring
learn,learning
calm,calming
suggest,suggesting
loan,loaning
earn,earning
exhaust,exhausting
overlook,overlooking
protect,protecting
move,moving
bounce,bouncing
sink,sinking
write,writing
shape,shaping
download,downloading
plummet,plummeting
conceive,conceiving
adapt,adapting
replace,replacing
gram,gramming
hire,hiring
vilify,vilifying
delude,deluding
cherish,cherishing
exclude,excluding
blink,blinking
finish,finishing
alleviate,alleviating
complain,complaining
hover,hovering
guide,guiding
slide,sliding
converge,converging
drive,driving
sit,sitting
march,marching
gamble,gambling
orbit,orbiting
mingle,mingling
bleed,bleeding
condemn,condemning
tantalize,tantalizing
bargain,bargaining
multiply,multiplying
interest,interesting
check,checking
thrive,thriving
acquire,acquiring
fall,falling
value,valuing
require,requiring
dance,dancing
begin,beginning
tidy,tidying
synthesize,synthesizing
help,helping
deliver,delivering
react,reacting
model,modeling
taste,tasting
support,supporting
emerge,emerging
chat,chatting
tailor,tailoring
prepay,prepaying
accommodate,accommodating
injure,injuring
hint,hinting
ramify,ramifying
nod,nodding
haunt,haunting
sparkle,sparkling
construct,constructing
adore,adoring
audit,auditing
enter,entering
yearn,yearning
gasp,gasping
trade,trading
forget,forgetting
investigate,investigating
fold,folding
hop,hopping
reminisce,reminiscing
dilate,dilating
establish,establishing
doubt,doubting
outperform,outperforming
agitate,agitating
reverse,reversing
assist,assisting
permit,permitting
trudge,trudging
persuade,persuading
depart,departing
simulate,simulating
eliminate,eliminating
welcome,welcoming
bind,binding
limit,limiting
scrutinize,scrutinizing
coagulate,coagulating
unite,uniting
strut,strutting
scrub,scrubbing
wonder,wondering
win,winning
decrease,decreasing
locate,locating
glimmer,glimmering
curve,curving
spring,springing
cower,cowering
live,living
extol,extolling
kick,kicking
hug,hugging
understand,understanding
celebrate,celebrating
spread,spreading
attach,attaching
gossip,gossiping
detach,detaching
clarify,clarifying
differentiate,differentiating
pulse,pulsing
squander,squandering
consume,consuming
message,messaging
galvanize,galvanizing
sacrifice,sacrificing
rebuild,rebuilding
transport,transporting
categorize,categorizing
anxious,anxietizing
abuse,abusing
mediate,mediating
quarrel,quarreling
sail,sailing
foster,fostering
bend,bending
disclose,disclosing
enlarge,enlarging
declutter,decluttering
hurt,hurting
mistake,mistaking
infuse,infusing
surrender,surrendering
heal,healing
arrange,arranging
maintain,maintaining
deflate,deflating
exhale,exhaling
offer,offering
rub,rubbing
blow,blowing
flutter,fluttering
mislead,misleading
purify,purifying
cook,cooking
mow,mowing
dust,dusting
reveal,revealing
worry,worrying
perpetuate,perpetuating
return,returning
suspend,suspending
stink,stinking
meditate,meditating
allocate,allocating
vindicate,vindicating
seek,seeking
control,controlling
polish,polishing
say,saying
execute,executing
stop,stopping
develop,developing
secure,securing
forbid,forbidding
offset,offsetting
chew,chewing
stretch,stretching
escalate,escalating
reset,resetting
sleep,sleeping
glisten,glistening
select,selecting
capture,capturing
love,loving
punch,punching
tabulate,tabulating
chide,chiding
undress,undressing
hunger,hungering
fetch,fetching
manage,managing
decelerate,decelerating
untie,untying
release,releasing
groan,groaning
put,putting
retain,retaining
research,researching
emanate,emanating
err,erring
serve,serving
market,marketing
inhale,inhaling
refuse,refusing
plod,plodding
have,having
address,addressing
indicate,indicating
nibble,nibbling
spin,spinning
soar,soaring
shake,shaking
convey,conveying
bound,bounding
banish,banishing
impact,impacting
sizzle,sizzling
rotate,rotating
soil,soiling
trickle,trickling
yield,yielding
aggravate,aggravating
absorb,absorbing
claim,claiming
mean,meaning
oppose,opposing
recall,recalling
soothe,soothing
kiss,kissing
prosper,prospering
formulate,formulating
parade,parading
advise,advising
erode,eroding
maneuver,maneuvering
drop,dropping
mitigate,mitigating
dislike,disliking
corrode,corroding
catalyze,catalyzing
navigate,navigating
showcase,showcasing
unpack,unpacking
plead,pleading
caress,caressing
wield,wielding
participate,participating
swear,swearing
prepare,preparing
attack,attacking
quantify,quantifying
subtract,subtracting
graduate,graduating
clutch,clutching
devalue,devaluing
suspect,suspecting
enslave,enslaving
equivocate,equivocating
reassure,reassuring
pause,pausing
dig,digging
assign,assigning
increase,increasing
argue,arguing
judge,judging
escape,escaping
reject,rejecting
start,starting
deal,dealing
measure,measuring
attenuate,attenuating
spy,spying
tolerate,tolerating
include,including
drift,drifting
campaign,campaigning
giggle,giggling
sting,stinging
implement,implementing
tweet,tweeting
scream,screaming
abandon,abandoning
insist,insisting
extend,extending
confront,confronting
regret,regretting
mentor,mentoring
count,counting
weigh,weighing
print,printing
study,studying
buy,buying
sob,sobbing
charm,charming
ride,riding
receive,receiving
eat,eating
strike,striking
muse,musing
glimpse,glimpsing
struggle,struggling
shuffle,shuffling
seem,seeming
rise,rising
covet,coveting
blossom,blossoming
quiver,quivering
thirst,thirsting
snoop,snooping
grade,grading
bleat,bleating
endure,enduring
envision,envisioning
empathize,empathizing
protest,protesting
nurture,nurturing
empower,empowering
shine,shining
withstand,withstanding
opt,opting
surf,surfing
edit,editing
light,lighting
chuckle,chuckling
stroll,strolling
sweat,sweating
descend,descending
hear,hearing
blame,blaming
justify,justifying
urge,urging
cut,cutting
concentrate,concentrating
fix,fixing
delegate,delegating
come,coming
degrade,degrading
hinder,hindering
sow,sowing
engender,engendering
juxtapose,juxtaposing
wander,wandering
workout,working out
recharge,recharging
betray,betraying
lie,lying
scan,scanning
verify,verifying
breathe,breathing
hold,holding
rush,rushing
hike,hiking
prevent,preventing
shiver,shivering
knock,knocking
handle,handling
unlock,unlocking
perfect,perfecting
compute,computing
let,letting
sew,sewing
sustain,sustaining
dirty,dirtying
rescue,rescuing
duplicate,duplicating
amuse,amusing
spit,spitting
panic,panicking
vote,voting
display,displaying
avoid,avoiding
envy,envying
lessen,lessening
murmur,murmuring
shift,shifting
separate,separating
snowboard,snowboarding
tread,treading
craft,crafting
change,changing
warn,warning
digest,digesting
gallop,galloping
mold,molding
feel,feeling
amplify,amplifying
draft,drafting
merge,merging
overdraw,overdrawing
respond,responding
shave,shaving
lay,laying
work,working
repay,repaying
waver,wavering
elucidate,elucidating
squirm,squirming
tighten,tightening
solve,solving
juggle,juggling
accuse,accusing
see,seeing
wriggle,wriggling
unveil,unveiling
dissolve,dissolving
agree,agreeing
boil,boiling
ache,aching
consider,considering
evoke,evoking
determine,determining
realize,realizing
savor,savoring
swallow,swallowing
devolve,devolving
defy,defying
crumble,crumbling
sing,singing
persevere,persevering
lift,lifting
train,training
paddle,paddling
revise,revising
answer,answering
compromise,compromising
exaggerate,exaggerating
text,texting
post,posting
cheer,cheering
despise,despising
cure,curing
hang,hanging
renew,renewing
glide,gliding
admit,admitting
pick,picking
give,giving
flee,fleeing
wither,withering
slur,slurring
fly,flying
swirl,swirling
estimate,estimating
matter,mattering
burble,burbling
halt,halting
vibrate,vibrating
gesture,gesturing
await,awaiting
visualize,visualizing
summon,summoning
imbue,imbuing
frown,frowning
allow,allowing
revolutionize,revolutionizing
creep,creeping
command,commanding
die,dying
congratulate,congratulating
join,joining
email,emailing
wring,wringing
end,ending
germinate,germinating
cease,ceasing
present,presenting
mine,mining
guard,guarding
achieve,achieving
trap,trapping
disassemble,disassembling
review,reviewing
dim,dimming
abridge,abridging
conquer,conquering
intrigue,intriguing
upload,uploading
ship,shipping
sell,selling
miss,missing
broaden,broadening
grimace,grimacing
inspect,inspecting
conceal,concealing
examine,examining
mutate,mutating
mobilize,mobilizing
imagine,imagining
pull,pulling
grill,grilling
watch,watching
simmer,simmering
sling,slinging
sprint,sprinting
debug,debugging
open,opening
submit,submitting
sip,sipping
brake,braking
grant,granting
stride,striding
smell,smelling
decay,decaying
fade,fading
trust,trusting
hit,hitting
drag,dragging
recognize,recognizing
stream,streaming
deepen,deepening
purchase,purchasing
slink,slinking
apply,applying
laugh,laughing
intervene,intervening
discard,discarding
dress,dressing
string,stringing
speculate,speculating
dive,diving
mime,miming
broadcast,broadcasting
inflate,inflating
complete,completing
peep,peeping
thank,thanking
dawdle,dawdling
hustle,hustling
pine,pining
squeeze,squeezing
travel,traveling
bore,boring
project,projecting
meet,meeting
lobby,lobbying
approve,approving
lose,losing
cry,crying
dream,dreaming
obey,obeying
ponder,pondering
inspire,inspiring
coordinate,coordinating
resell,reselling
succumb,succumbing
mail,mailing
referee,refereeing
plunge,plunging
stick,sticking
purr,purring
balance,balancing
enhance,enhancing
distribute,distributing
warm,warming
knit,knitting
bake,baking
advance,advancing
repair,repairing
educate,educating
gaze,gazing
oversee,overseeing
dash,dashing
throw,throwing
decorate,decorating
progress,progressing
find,finding
speed,speeding
converse,conversing
constrict,constricting
respect,respecting
conduct,conducting
shoot,shooting
create,creating
fine-tune,fine-tuning
perceive,perceiving
swing,swinging
console,consoling
decompose,decomposing
devastate,devastating
render,rendering
appease,appeasing
overhear,overhearing
improvise,improvising
grab,grabbing
wound,wounding
cycle,cycling
invest,investing
rent,renting
slouch,slouching
resent,resenting
simplify,simplifying
fabricate,fabricating
zoom,zooming
motivate,motivating
structure,structuring
disrupt,disrupting
prohibit,prohibiting
hope,hoping
read,reading
revitalize,revitalizing
deter,deterring
reconnect,reconnecting
rove,roving
invent,inventing
enable,enabling
skate,skating
combine,combining
refund,refunding
meander,meandering
book,booking
shop,shopping
obfuscate,obfuscating
rank,ranking
renovate,renovating
rehabilitate,rehabilitating
choose,choosing
fling,flinging
condense,condensing
organize,organizing
monitor,monitoring
manifest,manifesting
paint,painting
memorize,memorizing
approach,approaching
dice,dicing
withhold,withholding
pray,praying
dismiss,dismissing
sanitize,sanitizing
augment,augmenting
aggregate,aggregating
orchestrate,orchestrating
prance,prancing
retreat,retreating
anger,angering
shed,shedding
send,sending
sigh,sighing
remove,removing
harm,harming
challenge,challenging
entertain,entertaining
glance,glancing
expect,expecting
saunter,sauntering
lock,locking
criticize,criticizing
contrast,contrasting
promise,promising
stare,staring
evolve,evolving
remain,remaining
group,grouping
build,building
carry,carrying
clench,clenching
oscillate,oscillating
grate,grating
identify,identifying
enumerate,enumerating
contribute,contributing
flip,flipping
tap,tapping
practice,practicing
jealous,jealousing
adopt,adopting
optimize,optimizing
troubleshoot,troubleshooting
frustrate,frustrating
awaken,awakening
orient,orienting
calibrate,calibrating
carve,carving
bite,biting
upset,upsetting
grip,gripping
confirm,confirming
attend,attending
commute,commuting
hanker,hankering
invite,inviting
writhe,writhing
fry,frying
suffer,suffering
ask,asking
whimper,whimpering
jog,jogging
analyze,analyzing
disprove,disproving
believe,believing
discourage,discouraging
enlighten,enlightening
volunteer,volunteering
revive,reviving
demolish,demolishing
exist,existing
visit,visiting
postpone,postponing
leap,leaping
hide,hiding
transform,transforming
unzip,unzipping
wobble,wobbling
engineer,engineering
compress,compressing
strengthen,strengthening
steal,stealing
like,liking
stall,stalling
ruminate,ruminating
weaken,weakening
lull,lulling
unearth,unearthing
collaborate,collaborating
point,pointing
announce,announcing
forgive,forgiving
screw,screwing
play,playing
publish,publishing
freeze,freezing
exit,exiting
mop,mopping
sense,sensing
reflect,reflecting
oxidize,oxidizing
continue,continuing
sweep,sweeping
depress,depressing
emit,emitting
oink,oinking
appear,appearing
resist,resisting
amble,ambling
update,updating
access,accessing
shout,shouting
undergo,undergoing
describe,describing
twist,twisting
please,pleasing
flow,flowing
wade,wading
flourish,flourishing
validate,validating
fantasize,fantasizing
baking,baking
wake,waking
restore,restoring
know,knowing
demonize,demonizing
grow,growing
recycle,recycling
recede,receding
falter,faltering
dismantle,dismantling
spend,spending
stir,stirring
gulp,gulping
relocate,relocating
dread,dreading
remember,remembering
feed,feeding
slow,slowing
gain,gaining
counsel,counseling
reserve,reserving
ascend,ascending
disconnect,disconnecting
ramble,rambling
borrow,borrowing
boiling,boiling
anticipate,anticipating
observe,observing
integrate,integrating
advocate,advocating
bet,betting
enliven,enlivening
touch,touching
steam,steaming
overcome,overcoming
aggrandize,aggrandizing
roar,roaring
certify,certifying
hunt,hunting
accept,accepting
teach,teaching
diminish,diminishing
hypnotize,hypnotizing
roam,roaming
apologize,apologizing
show,showing
disagree,disagreeing
grieve,grieving
nail,nailing
guess,guessing
care,caring
groom,grooming
recline,reclining
ban,banning
transition,transitioning
shut,shutting
reassemble,reassembling
contemplate,contemplating
praise,praising
overwrite,overwriting
reduce,reducing
share,sharing
leave,leaving
introduce,introducing
bloom,blooming
tremble,trembling
swim,swimming
relax,relaxing
succeed,succeeding
film,filming
undo,undoing
undertake,undertaking
levitate,levitating
interfere,interfering
distrust,distrusting
mix,mixing
strew,strewing
program,programming
service,servicing
intensify,intensifying
stammer,stammering
proceed,proceeding
convince,convincing
scroll,scrolling
associate,associating
coach,coaching
diagnose,diagnosing
demand,demanding
network,networking
lumber,lumbering
pat,patting
get,getting
process,processing
glue,gluing
resume,resuming
stay,staying
threaten,threatening
recommend,recommending
scheme,scheming
do,doing
stand,standing
harvest,harvesting
break,breaking
overtake,overtaking
expose,exposing
sneak,sneaking
hesitate,hesitating
cooperate,cooperating
communicate,communicating
hoard,hoarding
conserve,conserving
damage,damaging
experiment,experimenting
facilitate,facilitating
persist,persisting
explain,explaining
obstruct,obstructing
perform,performing
poach,poaching
generate,generating
weep,weeping
liquidate,liquidating
erect,erecting
mourn,mourning
order,ordering
disappear,disappearing
stagnate,stagnating
close,closing
shudder,shuddering
neglect,neglecting
belong,belonging
medicate,medicating
delay,delaying
smile,smiling
explore,exploring
idolize,idolizing
risk,risking
dissuade,dissuading
deceive,deceiving
